Rainfall,Avg Temp,Relative Humidity,Sand %,PH Level,Phosohorus,Potassium,Clay %,Category
166.32,15.0,52.0,50.434,6.2,68.23,380.0,17.932,Medium
178.32,17.0,51.0,50.434,6.2,68.23,380.0,17.932,Low
122.35,16.0,49.0,50.434,6.2,68.23,380.0,17.932,Medium
198.32,18.0,48.0,50.434,6.2,68.23,380.0,17.932,Medium
126.24,15.0,51.0,50.434,6.2,68.23,380.0,17.932,Medium
265.35,19.0,53.0,50.434,6.2,68.23,380.0,17.932,Medium
268.52,20.0,52.0,50.434,6.2,68.23,380.0,17.932,Medium
345.2,21.0,51.0,50.434,6.2,68.23,380.0,17.932,High
256.0,18.0,50.0,50.434,6.2,68.23,380.0,17.932,High
245.0,19.0,51.0,50.434,6.2,68.23,380.0,17.932,High
189.0,17.0,52.0,50.434,6.2,68.23,380.0,17.932,High
254.0,19.0,51.0,50.434,6.2,68.23,380.0,17.932,High
212.0,17.0,48.0,50.434,6.2,68.23,380.0,17.932,High
222.0,16.0,49.0,50.434,6.2,68.23,380.0,17.932,High
198.0,19.0,50.0,50.434,6.2,68.23,380.0,17.932,High
988.31,23.0475,45.0258333333333,61.256,6.3,96.32,313.25,10.235,Medium
1213.11,22.4933333333333,52.1583333333333,61.256,6.3,96.32,313.25,10.235,Medium
1361.34,22.5266666666666,52.9475,61.256,6.3,96.32,313.25,10.235,Medium
1302.38,22.3966666666666,55.3308333333333,61.256,6.3,96.32,313.25,10.235,Medium
1611.49,22.0366666666666,57.8833333333333,61.256,6.3,96.32,313.25,10.235,Medium
1968.87,21.9283333333333,59.2483333333333,61.256,6.3,96.32,313.25,10.235,Medium
1200.37,22.8183333333333,51.58,61.256,6.3,96.32,313.25,10.235,Medium
1336.65999999999,23.1283333333333,53.3925,61.256,6.3,96.32,313.25,10.235,Medium
1425.92,21.9775,57.5983333333333,61.256,6.3,96.32,313.25,10.235,Medium
1441.51,22.2625,53.6591666666666,61.256,6.3,96.32,313.25,10.235,Medium
1960.16,21.7641666666666,62.1416666666666,61.256,6.3,96.32,313.25,10.235,Medium
1691.68,22.3575,56.785,61.256,6.3,96.32,313.25,10.235,Medium
1446.43,22.6108333333333,55.68,61.256,6.3,96.32,313.25,10.235,Medium
1578.15,23.0358333333333,53.7858333333333,61.256,6.3,96.32,313.25,10.235,Medium
1570.05,23.1083333333333,55.4991666666666,61.256,6.3,96.32,313.25,10.235,Medium
472.58,14.13,51.4808333333333,36.325,6.0,197.0,362.0,10.589,Medium
1213.16,13.7208333333333,60.2816666666666,36.325,6.0,197.0,362.0,10.589,Medium
1195.52,13.5,60.51,36.325,6.0,197.0,362.0,10.589,Medium
1188.11,13.8125,63.0591666666666,36.325,6.0,197.0,362.0,10.589,Medium
1383.27,13.485,64.9916666666666,36.325,6.0,197.0,362.0,10.589,Medium
1670.5,13.43,65.3483333333333,36.325,6.0,197.0,362.0,10.589,Low
1054.82,14.0991666666666,58.5241666666666,36.325,6.0,197.0,362.0,10.589,Medium
1106.79,14.4133333333333,59.15,36.325,6.0,197.0,362.0,10.589,Medium
1262.37,13.4083333333333,64.91,36.325,6.0,197.0,362.0,10.589,Medium
1427.02,13.5083333333333,59.87,36.325,6.0,197.0,362.0,10.589,Medium
1894.37999999999,13.3116666666666,68.2608333333333,36.325,6.0,197.0,362.0,10.589,Medium
1982.8,13.5733333333333,65.8541666666666,36.325,6.0,197.0,362.0,10.589,Low
1963.95,13.37,68.5925,36.325,6.0,197.0,362.0,10.589,Medium
1910.03,14.2191666666666,63.9333333333333,36.325,6.0,197.0,362.0,10.589,Medium
1879.02,13.9799999999999,66.7975,36.325,6.0,197.0,362.0,10.589,Medium
583.949999999999,10.0041666666666,52.6891666666666,41.152,6.5,117.0,433.0,12.365,Medium
666.69,10.1033333333333,55.0591666666666,41.152,6.5,117.0,433.0,12.365,Medium
834.85,9.425,58.8425,41.152,6.5,117.0,433.0,12.365,Low
710.12,10.1341666666666,58.2116666666666,41.152,6.5,117.0,433.0,12.365,Low
965.069999999999,9.58499999999999,60.9008333333333,41.152,6.5,117.0,433.0,12.365,Low
864.04,9.63583333333333,61.0216666666666,41.152,6.5,117.0,433.0,12.365,Low
682.07,10.3516666666666,53.31,41.152,6.5,117.0,433.0,12.365,Low
939.54,10.3983333333333,56.5825,41.152,6.5,117.0,433.0,12.365,Medium
1000.08,9.38083333333333,63.8791666666666,41.152,6.5,117.0,433.0,12.365,Medium
640.55,9.4475,60.9566666666666,41.152,6.5,117.0,433.0,12.365,Medium
1084.87,9.57166666666666,69.2225,41.152,6.5,117.0,433.0,12.365,Medium
752.31,9.74833333333333,63.0075,41.152,6.5,117.0,433.0,12.365,Medium
753.0,9.8425,64.8475,41.152,6.5,117.0,433.0,12.365,Medium
615.44,10.92,57.0133333333333,41.152,6.5,117.0,433.0,12.365,Medium
762.459999999999,10.4766666666666,61.1125,41.152,6.5,117.0,433.0,12.365,Medium
394.0,5.58583333333333,53.9458333333333,50.014,6.6,116.0,466.0,10.236,Low
561.84,5.75833333333333,57.4025,50.014,6.6,116.0,466.0,10.236,Low
720.83,4.85666666666666,62.4199999999999,50.014,6.6,116.0,466.0,10.236,Low
642.75,5.6425,62.1583333333333,50.014,6.6,116.0,466.0,10.236,Low
873.76,5.0375,65.1199999999999,50.014,6.6,116.0,466.0,10.236,Low
742.82,5.265,64.6033333333333,50.014,6.6,116.0,466.0,10.236,Low
570.77,5.74916666666666,57.7149999999999,50.014,6.6,116.0,466.0,10.236,Low
735.99,5.835,60.0758333333333,50.014,6.6,116.0,466.0,10.236,Low
831.95,5.00416666666666,67.4741666666666,50.014,6.6,116.0,466.0,10.236,Low
548.6,4.80833333333333,66.2083333333333,50.014,6.6,116.0,466.0,10.236,Medium
943.86,5.0575,73.1308333333333,50.014,6.6,116.0,466.0,10.236,Medium
638.89,5.0775,68.485,50.014,6.6,116.0,466.0,10.236,Medium
682.54,5.13833333333333,70.1466666666666,50.014,6.6,116.0,466.0,10.236,Medium
536.41,6.5175,60.8033333333333,50.014,6.6,116.0,466.0,10.236,Medium
653.61,6.01416666666666,65.2533333333333,50.014,6.6,116.0,466.0,10.236,Medium
192.23,6.0,52.0,55.365,6.5,97.0,517.0,9.023,Low
198.23,7.0,53.0,55.365,6.5,97.0,517.0,9.023,Low
245.32,8.0,54.0,55.365,6.5,97.0,517.0,9.023,Low
245.32,5.0,55.0,55.365,6.5,97.0,517.0,9.023,Low
256.32,6.0,56.0,55.365,6.5,97.0,517.0,9.023,Low
256.23,5.0,57.0,55.365,6.5,97.0,517.0,9.023,Low
289.32,6.0,58.0,55.365,6.5,97.0,517.0,9.023,Low
246.25,7.0,52.0,55.365,6.5,97.0,517.0,9.023,Low
245.23,8.0,53.0,55.365,6.5,97.0,517.0,9.023,Low
255.32,6.0,56.0,55.365,6.5,97.0,517.0,9.023,Low
265.65,5.0,54.0,55.365,6.5,97.0,517.0,9.023,Low
145.32,9.0,52.0,55.365,6.5,97.0,517.0,9.023,Low
199.32,10.0,55.0,55.365,6.5,97.0,517.0,9.023,Low
145.62,8.0,57.0,55.365,6.5,97.0,517.0,9.023,Low
254.32,9.0,56.0,55.365,6.5,97.0,517.0,9.023,Low
708.12,22.7108333333333,45.82,37.265,6.9,97.0,198.0,29.654,Medium
