DISTRICT,YEAR,Rainfall,AvgTemp,RelativeHumidity,SoilTemp,Sand,PHLevel,Phosohorus,Potassium,Clay,PRODUCTION,ProductionArea
Achham,2003,166.32,15.0,52.0,14.823140169426424,50.434,6.2,68.23,380.0,17.932,12030.0,7215.0
Achham,2004,178.32,17.0,51.0,16.521641603759246,50.434,6.2,68.23,380.0,17.932,11000.0,6100.0
Achham,2005,122.35,16.0,49.0,16.042110132198744,50.434,6.2,68.23,380.0,17.932,10010.0,7151.0
Achham,2006,198.32,18.0,48.0,17.836184779724157,50.434,6.2,68.23,380.0,17.932,9000.0,7151.0
Achham,2007,126.24,15.0,51.0,14.931681985817622,50.434,6.2,68.23,380.0,17.932,9000.0,7151.0
Achham,2008,265.35,19.0,53.0,19.3304860980054,50.434,6.2,68.23,380.0,17.932,6671.0,7151.0
Achham,2009,268.52,20.0,52.0,19.67282703311433,50.434,6.2,68.23,380.0,17.932,7270.0,7151.0
Achham,2010,345.2,21.0,51.0,20.726817787611648,50.434,6.2,68.23,380.0,17.932,23401.0,16139.0
Achham,2011,256.0,18.0,50.0,17.81679509197597,50.434,6.2,68.23,380.0,17.932,25500.0,16140.0
Achham,2012,245.0,19.0,51.0,18.803300307484605,50.434,6.2,68.23,380.0,17.932,24145.0,15332.0
Achham,2013,189.0,17.0,52.0,16.571273498831964,50.434,6.2,68.23,380.0,17.932,22932.0,15335.0
Achham,2014,254.0,19.0,51.0,18.93866034528314,50.434,6.2,68.23,380.0,17.932,22500.0,15210.0
Achham,2015,212.0,17.0,48.0,17.008259825850992,50.434,6.2,68.23,380.0,17.932,15288.25,15631.2
Achham,2016,222.0,16.0,49.0,15.6933706863448,50.434,6.2,68.23,380.0,17.932,15288.25,15631.2
Achham,2017,198.0,19.0,50.0,18.98652500620646,50.434,6.2,68.23,380.0,17.932,15288.25,15631.2
Achham,2018,198.0,19.0,50.0,19.159771463414643,50.434,6.2,68.23,380.0,17.932,15288.25,15631.2
Achham,2019,198.0,19.0,50.0,19.355772137707653,50.434,6.2,68.23,380.0,17.932,15288.25,15631.2
Arghakhanchi,2003,1588.31,23.0475,45.02583333333333,22.848333333333333,61.256,6.3,96.32,313.25,10.235,11970.0,7375.0
Arghakhanchi,2004,1213.11,22.493333333333336,52.15833333333333,22.00916666666667,61.256,6.3,96.32,313.25,10.235,11970.0,7375.0
Arghakhanchi,2005,1361.34,22.526666666666667,52.9475,22.0375,61.256,6.3,96.32,313.25,10.235,11500.0,7375.0
Arghakhanchi,2006,1302.38,22.396666666666665,55.33083333333334,21.7925,61.256,6.3,96.32,313.25,10.235,13946.0,7340.0
Arghakhanchi,2007,1611.49,22.036666666666665,57.88333333333333,21.42,61.256,6.3,96.32,313.25,10.235,13420.0,7300.0
Arghakhanchi,2008,1968.87,21.92833333333333,59.248333333333335,21.309166666666663,61.256,6.3,96.32,313.25,10.235,8630.0,7340.0
